time,actual,predicted
1,0.007888506103068285,-0.023092803813293206
2,0.012059394437892453,0.05364783081368506
3,-0.004568000594520032,-0.008692549986867833
4,0.006603087264952603,0.025412524122101824
5,0.02444174079351634,0.08508406276777251
6,-9.22674060381975E-4,0.006324307810278181
7,0.0055612001831634094,0.006686805979682415
8,-0.0030113092755685803,0.016976131554189387
9,-0.03705685865613524,0.015792564859021252
10,0.013568677053987243,-0.012314969958423216
11,0.00825029465338057,-0.012441682211721209
12,0.016737513283740617,0.003934837641925792
13,0.03937349175363913,0.005840445404300992
14,-0.006722803406062654,-0.00909934448843228
15,-0.002069499449126127,-0.0031843955390883994
16,-0.017779402330404176,0.02051105808257274
17,-0.022144654919169497,0.016961786045987682
18,0.0038616036062345768,-0.005258296874759401
19,0.03458824621669293,-0.01982530900417766
20,-0.007590340002363101,-8.047634024014039E-4
21,-0.004766870925252225,-0.01780921522627049
22,0.003022525080446721,0.001617324369298615
23,-0.0043374483484332005,-0.004086623959135087
24,-0.01053983484407827,0.014164618952129563
25,-0.005089288587641968,-0.004188867691290551
26,0.013482208044656212,-0.0019403912968468104
27,0.00806712676240426,-0.0035713879264718446
28,-0.006472311382553901,3.823692165093103E-4
29,0.0017010777032871371,0.004391299251425093
30,0.007410829931148372,0.0020611269438311056
31,-0.0027488432452590344,0.0113012388587955
32,-0.007648010567282778,0.006150371786582257
33,-0.05646498213816286,0.004047125164323344
34,0.006664014803195781,-0.010989947664797677
35,0.002626842749386095,-0.023978421918553483
36,0.0016689882516628654,-0.007468520656924171
37,0.05330429948404919,-0.01090188428257335
38,-0.00443260802497134,-0.004100951503021778
39,-0.001295751969072048,-0.025239613610823036
40,-0.013050382385330059,0.02576772334973667
41,-0.0029959683882184018,0.026435734929915012
42,0.0032893923280489725,0.004318618638923587
43,0.0029750899768278068,-0.010395597650146964
44,-0.004092247617848026,-0.0021017493705336524
45,-0.0020067157882720974,0.004078524436157368
46,9.319621280265192E-4,0.011090295215400132
47,-0.002081451457247568,3.3248392476858566E-6
48,-8.603122190640236E-4,0.0037348540198973586
49,6.488870580327417E-4,0.004684253657137373
