time,actual,trainPredict,testPredict1540623120,[6470.26],[nan],[nan]
1540623180,[6469.98],[6470.00976562],[nan]
1540623240,[6470.37],[6469.74707031],[nan]
1540623300,[6469.04],[6470.11230469],[nan]
1540623360,[6468.96],[6468.86035156],[nan]
1540623420,[6469.56],[6468.78417969],[nan]
1540623480,[6472.71],[6469.35205078],[nan]
1540623540,[6472.11],[6472.27148438],[nan]
1540623600,[6467.24],[6471.72363281],[nan]
1540623660,[6467.48],[6467.13867188],[nan]
1540623720,[6467.91],[6467.37011719],[nan]
1540623780,[6468.52],[6467.78271484],[nan]
1540623840,[6471.69],[6468.36572266],[nan]
1540623900,[6471.6],[6471.33789062],[nan]
1540623960,[6471.83],[6471.25488281],[nan]
1540624020,[6472.13],[6471.46679688],[nan]
1540624080,[6471.97],[6471.7421875],[nan]
1540624140,[6471.18],[6471.59570312],[nan]
1540624200,[6471.19],[6470.8671875],[nan]
1540624260,[6469.73],[6470.87597656],[nan]
1540624320,[6471.55],[6469.51220703],[nan]
1540624380,[6472.99],[6471.20898438],[nan]
1540624440,[6472.99],[6472.52587891],[nan]
1540624500,[6474.09],[6472.52587891],[nan]
1540624560,[6473.71],[6473.515625],[nan]
1540624620,[6474.24],[6473.17480469],[nan]
1540624680,[6469.75],[6473.64941406],[nan]
1540624740,[6469.77],[6469.53125],[nan]
1540624800,[6469.36],[6469.54980469],[nan]
1540624860,[6469.94],[6469.16308594],[nan]
1540624920,[6470.75],[6469.70947266],[nan]
1540624980,[6470.81],[6470.46728516],[nan]
1540625040,[6471.23],[6470.5234375],[nan]
1540625100,[6471.26],[6470.91308594],[nan]
1540625160,[6471.51],[6470.94042969],[nan]
1540625220,[6473.11],[6471.171875],[nan]
1540625280,[6473.12],[6472.63427734],[nan]
1540625340,[6473.13],[6472.64355469],[nan]
1540625400,[6474.28],[6472.65234375],[nan]
1540625460,[6473.75],[6473.68505859],[nan]
1540625520,[6473.21],[6473.2109375],[nan]
1540625580,[6476.19],[6472.72509766],[nan]
1540625640,[6476.17],[6475.36474609],[nan]
